stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
1,"FRWO41","Franowo",52.3814339100,17.0003228700,A
2,"SOB42","Os. Sobieskiego",52.4638000300,16.9166601800,A
3,"SOB41","Os. Sobieskiego",52.4639504200,16.9178214900,A
4,"MT72","Most Teatralny",52.4107374400,16.9126471700,A
5,"MT44","Most Teatralny",52.4109651200,16.9137425100,A
6,"MT43","Most Teatralny",52.4103354900,16.9143484000,A
7,"POZN41","Poznańska",52.4133151800,16.9151929400,A
8,"POZN42","Poznańska",52.4140944800,16.9162984600,A
9,"SOLA41","Sołacz",52.4235161000,16.9034093800,A
10,"SOLA42","Sołacz",52.4230151800,16.9036213400,A
11,"UP41","Uniwersytet Przyrodniczy",52.4263916700,16.9059923800,A
12,"UP42","Uniwersytet Przyrodniczy",52.4269057500,16.9062196600,A
13,"BONN42","Bonin",52.4302063000,16.9106352900,A
14,"BONN41","Bonin",52.4303010700,16.9108599400,A
15,"SLKA42","Słowiańska",52.4271177700,16.9192237100,A
16,"SLKA41","Słowiańska",52.4271586000,16.9194629700,A
17,"SWLE42","Św. Leonarda",52.4326696000,16.9111834100,A
18,"SWLE41","Św. Leonarda",52.4328189300,16.9113883000,A
19,"NADW42","Nad Wierzbakiem",52.4213126600,16.9081035700,A
20,"NADW41","Nad Wierzbakiem",52.4214233900,16.9080444000,A
21,"KLIN42","Klin",52.4186542100,16.9140014500,A
22,"KLIN41","Klin",52.4187683300,16.9140675600,A
23,"ALSO42","Aleje Solidarności",52.4359820600,16.9199740600,A
24,"ALSO41","Aleje Solidarności",52.4359483100,16.9202087300,A
25,"LECH42","Lechicka/Poznań Plaza",52.4424734100,16.9198205300,A
26,"LECH41","Lechicka/Poznań Plaza",52.4425062700,16.9200857100,A
27,"KURP42","Kurpińskiego",52.4507481400,16.9194124100,A
28,"KURP41","Kurpińskiego",52.4507725100,16.9196313300,A
29,"SZYM42","Szymanowskiego",52.4603710300,16.9169382500,A
30,"SZYM41","Szymanowskiego",52.4603958500,16.9171552600,A
31,"WIKA42","Wielkopolska",52.4155123100,16.9182845700,A
32,"WIKA41","Wielkopolska",52.4155633900,16.9185920900,A
33,"ARPO42","Armii Poznań",52.4213487500,16.9235154600,A
34,"ARPO41","Armii Poznań",52.4213219800,16.9236569500,A
35,"ZNIW42","Żniwna",52.4247660000,16.9268332600,A
37,"PASI41","Pasieka",52.4261525300,16.9311888200,A
38,"PASI42","Pasieka",52.4263859700,16.9318731300,A
39,"MURA42","Murawa",52.4268984600,16.9358033000,A
40,"MURA41","Murawa",52.4269504200,16.9359653500,A
46,"OPL42","Os. Pod Lipami",52.4309440500,16.9362506500,A
47,"OPL41","Os. Pod Lipami",52.4310010800,16.9364029400,A
48,"ROSO42","Rondo Solidarności",52.4339380800,16.9377328700,A
49,"ROSO41","Rondo Solidarności",52.4339826300,16.9379315500,A
50,"POLA42","Połabska",52.4348514000,16.9323765300,A
51,"POLA41","Połabska",52.4352225400,16.9319816600,A
52,"WINI42","Os. Winiary",52.4356506500,16.9113141800,A
53,"WINI41","Os. Winiary",52.4359270900,16.9115017500,A
54,"LUSZ41","Lutycka Szpital",52.4396789800,16.9101567100,A
55,"LUSZ42","Lutycka Szpital",52.4397183900,16.9099956200,A
56,"PIAT41","Piątkowska",52.4415302943,16.9112689393,A
57,"PIAT42","Piątkowska",52.4414917400,16.9105875300,A
58,"OGDY41","Ogrody",52.4170536400,16.8824626700,A
59,"OGDY42","Ogrody",52.4163628200,16.8829024900,A
62,"PONA72","Polna",52.4142414300,16.8966975400,A
63,"PONA71","Polna",52.4142148300,16.8972021400,A
64,"RJEZ74","Rynek Jeżycki",52.4122250800,16.9056406100,A
65,"RJEZ73","Rynek Jeżycki",52.4125350800,16.9047706000,A
66,"BUKO42","Bukowska",52.4100013000,16.8886379300,A
67,"BUKO41","Bukowska",52.4100521300,16.8888257200,A
68,"RONJ42","Rondo Nowaka-Jeziorańskiego",52.4027709300,16.8900297700,A
69,"RONJ73","Rondo Nowaka-Jeziorańskiego",52.4033902600,16.8889925700,A
70,"RONJ41","Rondo Nowaka-Jeziorańskiego",52.4023512573,16.8882176253,A
71,"RONJ74","Rondo Nowaka-Jeziorańskiego",52.4018848800,16.8891387700,A
72,"WOJS41","Wojskowa",52.4034107400,16.8924793200,A
73,"OSTR42","Ostroroga",52.4003363100,16.8815419200,A
74,"OSTR41","Ostroroga",52.4006241700,16.8823444000,A
75,"GROC41","Grochowska",52.3989629500,16.8758472200,A
76,"GROC42","Grochowska",52.3988983700,16.8760071400,A
77,"DRZE42","Drzewieckiego",52.3965900200,16.8668666900,A
78,"DRZE41","Drzewieckiego",52.3968382200,16.8675472100,A
79,"INEA42","INEA Stadion",52.3953542600,16.8623584000,A
80,"INEA41","INEA Stadion",52.3957224800,16.8632981200,A
81,"WEGO41","Węgorka",52.3920000000,16.8578300000,A
82,"WEGO42","Węgorka",52.3923300000,16.8580000000,A
83,"MATE41","Matejki",52.4057875800,16.9009328700,A
84,"BALT71","Bałtyk",52.4065890000,16.9110520000,A
85,"BALT42","Bałtyk",52.4065000000,16.9110600000,A
86,"MODW41","Most Dworcowy",52.4040015200,16.9110290500,A
87,"MODW42","Most Dworcowy",52.4038694800,16.9111204500,A
88,"DWZA71","Dworzec Zachodni",52.4017177600,16.9088064600,A
89,"DWZA72","Dworzec Zachodni",52.4017716400,16.9090824300,A
90,"PAWI71","Park Wilsona",52.3982419000,16.9031573100,A
91,"PAWI72","Park Wilsona",52.3971074100,16.9020603600,A
92,"RYLA71","Rynek Łazarski",52.3939634477,16.8985036470,A
93,"RYLA72","Rynek Łazarski",52.3944540100,16.8991462700,A
94,"GLHE44","Głogowska/Hetmańska",52.3897983100,16.8949471800,A
95,"GLHE43","Głogowska/Hetmańska",52.3899860700,16.8946848200,A
96,"GLHE71","Głogowska/Hetmańska",52.3905273700,16.8944754200,A
97,"GLHE45","Głogowska/Hetmańska",52.3903874400,16.8935347900,A
98,"GLHE06","Głogowska/Hetmańska",52.3902737400,16.8935651400,A
99,"ARCI42","Arciszewskiego",52.3926985000,16.8869293500,A
100,"ARCI41","Arciszewskiego",52.3928844400,16.8867070100,A
101,"AREN41","Arena",52.3972781800,16.8883695100,A
102,"AREN42","Arena",52.3977717600,16.8884247200,A
103,"KOLE42","Kolejowa",52.3870352600,16.9028994200,A
104,"KOLE41","Kolejowa",52.3871894000,16.9027620200,A
105,"TRAU44","Traugutta",52.3853237900,16.9138239700,A
106,"TRAU43","Traugutta",52.3847652100,16.9151159000,A
107,"KOSI71","Kosińskiego",52.3893013500,16.9182392900,A
108,"KOSI72","Kosińskiego",52.3894819500,16.9187176400,A
109,"ROZA42","Różana",52.3969310600,16.9249166900,A
110,"ROZA41","Różana",52.3965092000,16.9245683000,A
111,"SWCZ72","Św. Czesława",52.3975813800,16.9213722500,A
112,"SWCZ71","Św. Czesława",52.3965130000,16.9212750700,A
113,"POLW42","Półwiejska",52.3999200000,16.9281600000,A
114,"POLW41","Półwiejska",52.3999700000,16.9279200000,A
115,"WIER42","Wierzbięcice",52.4017301500,16.9209242000,A
116,"WIER41","Wierzbięcice",52.4019271300,16.9205211600,A
117,"FRRY41","Fredry",52.4093200000,16.9192700000,A
118,"FRRY42","Fredry",52.4094800000,16.9184700000,A
119,"PLWO41","Pl. Wolności",52.4079231500,16.9258694600,A
120,"MRCI71","Marcinkowskiego",52.4064212100,16.9284599000,A
121,"MRCI72","Marcinkowskiego",52.4073055900,16.9288885500,A
122,"WROC71","Wrocławska",52.4055683200,16.9321353600,A
123,"WROC72","Wrocławska",52.4056098100,16.9323084800,A
124,"PLRA42","Pl. Ratajskiego",52.4095986000,16.9239237500,A
